Year,Region_Name,Average_Price
2005,Northern Ireland,123386
2005,Wales,131874
2005,Scotland,110101
2005,East of England,178969
2005,North East,123066
2005,North West,130263
2005,Yorkshire and The Humber,129053
2005,West Midlands Region,148529
2005,London,237971
2005,South West,180356
2005,South East,200950
2005,East Midlands,142518
2006,Scotland,124427
2006,Wales,140227
2006,Northern Ireland,160529
2006,West Midlands Region,155921
2006,South East,213017
2006,South West,193535
2006,London,256704
2006,North West,140071
2006,North East,129962
2006,Yorkshire and The Humber,139890
2006,East Midlands,149752
2006,East of England,190703
2007,Northern Ireland,224670
2007,Scotland,143287
2007,Wales,150316
2007,East Midlands,159023
2007,East of England,208231
2007,North West,151511
2007,South West,211402
2007,West Midlands Region,165807
2007,South East,236007
2007,North East,138535
2007,Yorkshire and The Humber,149887
2007,London,297653
2008,Northern Ireland,168076
2008,Scotland,137784
2008,Wales,139660
2008,North West,142260
2008,North East,131545
2008,London,281721
2008,South East,220523
2008,Yorkshire and The Humber,141353
2008,West Midlands Region,153811
2008,South West,194290
2008,East Midlands,146193
2008,East of England,193182
2009,Wales,128768
2009,Scotland,132658
2009,Northern Ireland,141864
2009,East of England,180570
2009,East Midlands,136342
2009,West Midlands Region,144704
2009,South East,206729
2009,North West,131723
2009,South West,181846
2009,North East,122676
2009,Yorkshire and The Humber,132277
2009,London,262076
2010,Northern Ireland,132164
2010,Scotland,133825
2010,Wales,132453
2010,South West,196163
2010,East Midlands,144010
2010,London,290646
2010,North West,135743
2010,North East,126174
2010,Yorkshire and The Humber,136896
2010,South East,224123
2010,West Midlands Region,150663
2010,East of England,194104
2011,Wales,129395
2011,Scotland,132518
2011,Northern Ireland,115108
2011,North West,131341
2011,West Midlands Region,146183
2011,East Midlands,140623
2011,East of England,192616
2011,Yorkshire and The Humber,132380
2011,London,294903
2011,North East,116961
2011,South West,191964
2011,South East,220344
2012,Northern Ireland,102086
2012,Wales,128860
2012,Scotland,126734
2012,North West,130137
2012,Yorkshire and The Humber,131781
2012,London,310043
2012,West Midlands Region,147401
2012,South East,227861
2012,North East,119749
2012,East Midlands,139793
2012,East of England,196204
2012,South West,192032
2013,Scotland,129781
2013,Northern Ireland,101165
2013,Wales,130842
2013,North East,120219
2013,South East,234507
2013,North West,131532
2013,West Midlands Region,151665
2013,South West,196500
2013,London,335743
2013,East Midlands,144030
2013,East of England,202193
2013,Yorkshire and The Humber,131934
2014,Scotland,135575
2014,Wales,136710
2014,Northern Ireland,109116
2014,South West,211731
2014,North East,121329
2014,North West,138230
2014,London,404754
2014,South East,261254
2014,East of England,224167
2014,Yorkshire and The Humber,139749
2014,West Midlands Region,160571
2014,East Midlands,155033
2015,Scotland,138564
2015,Wales,140651
2015,Northern Ireland,117716
2015,London,436152
2015,North West,142463
2015,West Midlands Region,167862
2015,East of England,244547
2015,East Midlands,163208
2015,North East,123621
2015,South East,283369
2015,South West,223210
2015,Yorkshire and The Humber,145313
2016,Northern Ireland,124731
2016,Scotland,140881
2016,Wales,145384
2016,London,471957
2016,North East,126116
2016,North West,150174
2016,Yorkshire and The Humber,151486
2016,East Midlands,172649
2016,West Midlands Region,178960
2016,East of England,271151
2016,South East,309981
2016,South West,236832
2017,Northern Ireland,128878
2017,Scotland,147234
2017,Wales,152859
2017,West Midlands Region,189271
2017,North East,129738
2017,North West,158252
2017,South East,323089
2017,South West,250432
2017,Yorkshire and The Humber,158077
2017,East Midlands,182763
2017,East of England,287534
2017,London,487085
2018,Wales,162374
2018,Scotland,153309
2018,Northern Ireland,132795
2018,North East,133538
2018,North West,163487
2018,Yorkshire and The Humber,163964
2018,East Midlands,194718
2018,West Midlands Region,199000
2018,East of England,292107
2018,London,486304
2018,South East,329264
2018,South West,257659
